name	rollNotes	spheres	level	spellType	vulgarity	range.num	range.type	targets.num	targets.type	targets.num2	duration.num	duration.type	defense	rollArcana	paradox	img
Detect Life	Sense the presance of living things. Increase range by an additional {32} Hexes for each additional Paradox spent. 	life	1	enchantment	never	32	hexes	0	self	0	5	rounds	none	true	0	systems/mage/icons/arcana/Life1.png
Infuse	Target gains {2} to all saves for a single turn and {1} {Regen} stack.	life	1	instant	never	8	hexes	1	targets	0	1	rounds	none	false	1	systems/mage/icons/arcana/Life1.png
Satyr's Vigor	Target of your choice gains {5} Strength for a single turn.	life	1	enchantment	witness	0	hexes	1	targets	0	1	rounds	none	false	1	systems/mage/icons/arcana/Life1.png
Syphon	You gain {8} HP, and deal {8} Toxic Damage to a target of your choice. Healing effect only applies if damage is succesful, and damage reduction / immunity on target will reduce your healing.	life	1	simple	witness	8	hexes	1	other	0	0	immediate	grit	false	1	systems/mage/icons/arcana/Life1.png
Speak with Animals	You are able to speak with any animal of 1 or lower intelligence. It understands what you say, and likewise you can understand it, though you speak to it in whatever language you actually prefer. 	life	1	enchantment	coincidental	0	self	0	self	0	10	rounds	none	false	1	systems/mage/icons/arcana/Life1.png
Spider Climb	Target may climb vertical surfiaces at a rate of {3} Hexes per turn.  This enchantment may be cast multiple times on multiple targets	life	1	enchantment	witness	0	touch	1	targets	0	10	rounds	none	false	1	systems/mage/icons/arcana/Life1.png
Dispel Life	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Life} Enchantments.	life	1	simple	never	16	hexes	1	other	0	0	immediate	none	true	0	systems/mage/icons/arcana/Life1.png
Planar Eyes	See into any plane in which you have planer knowledge.	space	1	enchantment	never	0	self	0	self	0	10	rounds	none	false	1	systems/mage/icons/arcana/Space1.png
Flicker	Gain resistance to a single form of damage vs a single attack. Move up to 2 hexes in any direction.   If moving away from an AoE attack gain {4} to any save vs. that attack.	space	1	instant	witness	2	hexes	0	self	0	0	immediate	none	false	1	systems/mage/icons/arcana/Space1.png
Displace	A single enemy is displaced {3} hex in any direction of your choice. 	space	1	simple	coincidental	16	hexes	1	other	0	0	immediate	grit	false	1	systems/mage/icons/arcana/Space1.png
Limited Body Double	Create an identical copy of yourself that has exactly 1 HP. If this body double is damaged in any way it is killed instantly, and you suffer twice the damage that it was dealt. The double and you can never be in the same room, but you have direct control of the double as if it was you, and it's memories are shared with you. This body double can only cast cantrips, and can never roll more than 4 dice  and can only have up to 1 Arcana on spells, no matter what your traits are.   A mage using body double, if killed becomes the double. This is an extremely powerful cantrip, but quite dangerous for the casting mage. 	space	1	enchantment	witness	0	hexes	0	self	0	1	hours	none	false	3	systems/mage/icons/arcana/Space1.png
